IOCTL_GET_PHYSICAL_DESCRIPTOR	0xb019a
IOCTL_GET_PIPE_CONFIGURATION	0x80002028
IOCTL_GET_PROCESSOR_OBJ_INFO	0x294180
IOCTL_GET_SYS_BUTTON_CAPS	0x294140
IOCTL_GET_SYS_BUTTON_EVENT	0x294144
IOCTL_GET_TUPLE_DATA	0x42ee0
IOCTL_GET_USB_DESCRIPTOR	0x80002020
IOCTL_GET_VERSION	0x80002000
IOCTL_HID_ACTIVATE_DEVICE	0xb001f
IOCTL_HID_DEACTIVATE_DEVICE	0xb0023
IOCTL_HID_DISABLE_SECURE_READ	0xb020f
IOCTL_HID_ENABLE_SECURE_READ	0xb020b
IOCTL_HID_FLUSH_QUEUE	0xb0197
IOCTL_HID_GET_COLLECTION_DESCRIPTOR	0xb0193
IOCTL_HID_GET_COLLECTION_INFORMATION	0xb01a8
IOCTL_HID_GET_DEVICE_ATTRIBUTES	0xb0027
IOCTL_HID_GET_DEVICE_DESCRIPTOR	0xb0003
IOCTL_HID_GET_DRIVER_CONFIG	0xb0190
IOCTL_HID_GET_FEATURE	0xb0192
IOCTL_HID_GET_FRIENDLY_NAME	0x0000
IOCTL_HID_GET_HARDWARE_ID	0xb019e
IOCTL_HID_GET_INDEXED_STRING	0xb01e2
IOCTL_HID_GET_INPUT_REPORT	0xb01a2
IOCTL_HID_GET_MANUFACTURER_STRING	0xb01ba
IOCTL_HID_GET_MS_GENRE_DESCRIPTOR	0xb01e6
IOCTL_HID_GET_POLL_FREQUENCY_MSEC	0xb0198
IOCTL_HID_GET_PRODUCT_STRING	0xb01be
IOCTL_HID_GET_REPORT_DESCRIPTOR	0xb0007
IOCTL_HID_GET_SERIALNUMBER_STRING	0xb01c2
IOCTL_HID_GET_STRING	0xb0013
IOCTL_HID_READ_REPORT	0xb000b
IOCTL_HID_SEND_IDLE_NOTIFICATION_REQUEST	0xb002b
IOCTL_HID_SET_DRIVER_CONFIG	0xb0194
IOCTL_HID_SET_FEATURE	0xb0191
IOCTL_HID_SET_OUTPUT_REPORT	0xb0195
IOCTL_HID_SET_POLL_FREQUENCY_MSEC	0xb019c
